,step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,job_id
0,1,2.61574,0.48101,2.58798,0.49057,ftjob-eSvP928XjAyFyB7Ir44G6DBP
1,2,2.12901,0.54639,2.03915,0.60714,ftjob-eSvP928XjAyFyB7Ir44G6DBP
2,3,1.71263,0.61742,1.90439,0.62887,ftjob-eSvP928XjAyFyB7Ir44G6DBP
3,4,2.10764,0.61039,1.57521,0.64646,ftjob-eSvP928XjAyFyB7Ir44G6DBP
4,5,2.33074,0.42857,2.39481,0.49057,ftjob-eSvP928XjAyFyB7Ir44G6DBP
5,6,2.61666,0.46154,1.76,0.625,ftjob-eSvP928XjAyFyB7Ir44G6DBP
6,7,1.99033,0.59677,1.72422,0.62887,ftjob-eSvP928XjAyFyB7Ir44G6DBP
7,8,0.66701,0.75,1.54679,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP
8,9,1.60066,0.69444,2.01369,0.56604,ftjob-eSvP928XjAyFyB7Ir44G6DBP
9,10,1.46292,0.73548,1.62429,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
10,11,1.78375,0.54286,1.66016,0.64948,ftjob-eSvP928XjAyFyB7Ir44G6DBP
11,12,2.14033,0.5,1.47731,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP
12,13,1.08059,0.76316,1.87508,0.58491,ftjob-eSvP928XjAyFyB7Ir44G6DBP
13,14,0.53096,0.77778,1.62017,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP
14,15,2.232,0.5,1.58463,0.63918,ftjob-eSvP928XjAyFyB7Ir44G6DBP
15,16,1.66255,0.57895,1.44643,0.66667,ftjob-eSvP928XjAyFyB7Ir44G6DBP
16,17,1.77964,0.61111,1.84323,0.54717,ftjob-eSvP928XjAyFyB7Ir44G6DBP
17,18,0.92485,0.73554,1.5894,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP
18,19,1.48075,0.63158,1.55072,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
19,20,1.35476,0.73171,1.40534,0.68687,ftjob-eSvP928XjAyFyB7Ir44G6DBP
20,21,2.13259,0.60656,1.77044,0.56604,ftjob-eSvP928XjAyFyB7Ir44G6DBP
21,22,1.10484,0.68421,1.42177,0.67857,ftjob-eSvP928XjAyFyB7Ir44G6DBP
22,23,0.56298,0.86842,1.53384,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
23,24,1.50212,0.68041,1.36935,0.68687,ftjob-eSvP928XjAyFyB7Ir44G6DBP
24,25,1.30427,0.65909,1.77065,0.58491,ftjob-eSvP928XjAyFyB7Ir44G6DBP
25,26,0.99395,0.74286,1.38688,0.67857,ftjob-eSvP928XjAyFyB7Ir44G6DBP
26,27,1.38106,0.69118,1.52846,0.6701,ftjob-eSvP928XjAyFyB7Ir44G6DBP
27,28,1.32042,0.69444,1.3607,0.66667,ftjob-eSvP928XjAyFyB7Ir44G6DBP
28,29,0.67546,0.79339,1.73587,0.58491,ftjob-eSvP928XjAyFyB7Ir44G6DBP
29,30,0.37307,0.77778,1.39115,0.67857,ftjob-eSvP928XjAyFyB7Ir44G6DBP
30,31,1.20739,0.75,1.57826,0.68041,ftjob-eSvP928XjAyFyB7Ir44G6DBP
31,32,1.99699,0.58228,1.37537,0.69697,ftjob-eSvP928XjAyFyB7Ir44G6DBP
32,33,1.53712,0.67213,1.71548,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
33,34,1.04907,0.7871,1.36825,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP
34,35,0.88326,0.77778,1.63861,0.6701,ftjob-eSvP928XjAyFyB7Ir44G6DBP
35,36,1.08,0.63889,1.42659,0.68687,ftjob-eSvP928XjAyFyB7Ir44G6DBP
36,37,1.11477,0.71429,1.70432,0.62264,ftjob-eSvP928XjAyFyB7Ir44G6DBP
37,38,1.05194,0.77419,1.3744,0.67857,ftjob-eSvP928XjAyFyB7Ir44G6DBP
38,39,1.75729,0.5873,1.66775,0.68041,ftjob-eSvP928XjAyFyB7Ir44G6DBP
39,40,1.05047,0.7193,1.46965,0.65657,ftjob-eSvP928XjAyFyB7Ir44G6DBP
40,41,1.83046,0.65385,1.68452,0.64151,ftjob-eSvP928XjAyFyB7Ir44G6DBP
41,42,0.98619,0.7561,1.45635,0.67857,ftjob-eSvP928XjAyFyB7Ir44G6DBP
42,43,0.7996,0.76316,1.67344,0.70103,ftjob-eSvP928XjAyFyB7Ir44G6DBP
43,44,0.7919,0.75,1.47505,0.67677,ftjob-eSvP928XjAyFyB7Ir44G6DBP
44,45,0.79608,0.75439,1.64075,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
45,46,1.27576,0.73196,1.41683,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
46,47,0.94795,0.80882,1.65547,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
47,48,0.77633,0.83871,1.44933,0.68687,ftjob-eSvP928XjAyFyB7Ir44G6DBP
48,49,0.9712,0.80556,1.64406,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
49,50,0.4494,0.86777,1.43756,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
50,51,1.54067,0.67089,1.67235,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
51,52,0.51548,0.85714,1.4613,0.69697,ftjob-eSvP928XjAyFyB7Ir44G6DBP
52,53,1.45279,0.63492,1.71006,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
53,54,0.48966,0.83333,1.48958,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP
54,55,1.23942,0.76923,1.75986,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
55,56,1.13233,0.73864,1.51444,0.66667,ftjob-eSvP928XjAyFyB7Ir44G6DBP
56,57,0.91189,0.81967,1.75711,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
57,58,0.77021,0.8,1.52423,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
58,59,0.55009,0.87805,1.80861,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
59,60,0.63989,0.76623,1.57152,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP
60,61,0.19449,0.88889,1.8396,0.62264,ftjob-eSvP928XjAyFyB7Ir44G6DBP
61,62,0.25359,0.91667,1.57476,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
62,63,0.22262,0.89474,1.87335,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
63,64,0.82845,0.80412,1.59398,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP
64,65,0.45151,0.84211,1.93121,0.60377,ftjob-eSvP928XjAyFyB7Ir44G6DBP
65,66,0.23695,0.94215,1.63671,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
66,67,0.40283,0.86842,1.95886,0.65979,ftjob-eSvP928XjAyFyB7Ir44G6DBP
67,68,0.1211,1.0,1.68655,0.60606,ftjob-eSvP928XjAyFyB7Ir44G6DBP
68,69,1.25354,0.70886,2.05689,0.64151,ftjob-eSvP928XjAyFyB7Ir44G6DBP
69,70,0.26067,0.85714,1.67615,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
70,71,0.57216,0.83871,2.0159,0.64948,ftjob-eSvP928XjAyFyB7Ir44G6DBP
71,72,0.15378,0.91667,1.76263,0.62626,ftjob-eSvP928XjAyFyB7Ir44G6DBP
72,73,0.09528,1.0,2.10332,0.62264,ftjob-eSvP928XjAyFyB7Ir44G6DBP
73,74,0.5905,0.88525,1.74212,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
74,75,0.27504,0.92683,2.06728,0.64948,ftjob-eSvP928XjAyFyB7Ir44G6DBP
75,76,0.34266,0.90909,1.78031,0.62626,ftjob-eSvP928XjAyFyB7Ir44G6DBP
76,77,0.94548,0.79924,2.18011,0.62264,ftjob-eSvP928XjAyFyB7Ir44G6DBP
77,78,1.22883,0.66667,1.78409,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
78,79,0.51663,0.86765,2.09845,0.62887,ftjob-eSvP928XjAyFyB7Ir44G6DBP
79,80,0.66888,0.88889,1.84268,0.62626,ftjob-eSvP928XjAyFyB7Ir44G6DBP
80,81,0.41604,0.94444,2.22166,0.62264,ftjob-eSvP928XjAyFyB7Ir44G6DBP
81,82,0.66438,0.84615,1.76468,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP
82,83,0.22239,0.97222,2.10224,0.61856,ftjob-eSvP928XjAyFyB7Ir44G6DBP
83,84,0.43286,0.90323,1.83225,0.62626,ftjob-eSvP928XjAyFyB7Ir44G6DBP
84,==,,,,,ftjob-eSvP928XjAyFyB7Ir44G6DBP
